film,speaker_gender,dialogue,word_count_corrected,director,director_gender,speaker_role
THE SECRET AGENT,MALE,"LISTENERS OF JORNAL DO COMMERCIO,",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,GOOD AFTERNOON!,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IT'S SHROVE TUESDAY.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"SO YOU'VE BEEN MADE A CUCKOLD, HUH?",7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND IT HURTS?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,MIGHT AS WELL SIT BACK,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"AND ENJOY CHICAGO,",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"""IF YOU LEAVE ME NOW"".",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"YOUR BLESSING, DAD?",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CHIEF EUCLIDES.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"I NEED TO HAVE A WORD WITH MY BOYS,",9,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,DO YOU MIND?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"GO ON, GET LOST.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BEFORE I GO IN...,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,GIVE ME THE LOW-DOWN.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"LISTEN, DAD...",2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I THINK IT'S THAT PUNK FROM LAST WEEK.,8,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU WHAT?,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WHAT THE FUCK?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU OUT OF YOUR MIND?,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU THINK I'D PULL DAD,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OFF A CARNIVAL PARTY,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IF IT WASN'T SERIOUS?,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WHO'S IN CHARGE HERE?,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"ARISTEU, OF THE CORDEIRO PRECINCT.",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CAN'T STAND THAT FAGGOT.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,FERNANDO AIN'T AROUND?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HE'S ENJOYING CARNIVAL.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ANY JOURNALISTS?,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ONLY A SCIENTIST AND SOME STUDENTS.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IS IT THE RIGHT ONE OR THE LEFT ONE?,9,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"I COULDN'T SEE, I WAS TOO FAR.",7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IT STINKS.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"CHIEF EUCLIDES,",2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU NEEDN'T HAVE COME.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'M REALLY ALMOST DONE HERE.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"I'M EUCLIDES CAVALCANTI,",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CHIEF OF POLICE.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AT YOUR SERVICE.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"THE SPECIMEN WAS FOUND ON SUNDAY,",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,WE HAVE TO ACT FAST.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU DON'T HAVE A FRIDGE HERE?,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,IT'S BROKEN.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"AS WE WERE WORKING ON IT,",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,WE FOUND THE PIECE...,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"I MEAN, THE LEG.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"I STARTED TO REMOVE IT,",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,BUT I THOUGHT IT BETTER NOT TO.,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,WE CALLED THE POLICE.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,DAMN...,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"WHERE WAS THE SHARK FOUND,",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OR KILLED?,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,150 METERS FROM THE BEACH.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,UP IN CANDEIAS.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND THE LEG...,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IS IT OF A MALE?,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,I'D RATHER NOT SAY ANYTHING.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,THAT'S FOR A MEDICAL EXAMINER TO SAY.,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,A POCKET KNIFE? DON'T.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'M USED TO THIS.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,YOU'D DAMAGE THE SPECIMEN.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,I'LL REMOVE THE PIECE MYSELF.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"WAIT OVER THERE, PLEASE.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,NO POCKET KNIVES.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,MY GLOVES.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"PROFESSOR, JUST A QUESTION.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ANY PICTURES TAKEN?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,NO PICTURES.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"PROFESSOR,",1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IS THE SHARK MALE OR FEMALE?,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,MALE.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,FUCK!,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,FUCK!,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,MISSION ACCOMPLISHED.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"OH MY, YOU GOT SOAKED THROUGH!",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,OVER HERE.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,DONA SEBASTIANA?,2,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,FEMALE,"YES, AT YOUR SERVICE.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,MARCELO?,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THAT'S RIGHT.,2,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,HOW ARE YOU?,3,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,FEMALE,VERY WELL.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,I NEED A RIDE.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"SURE, HOP IN.",3,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,FEMALE,THIS IS CLÓVIS.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,FEMALE,"GET ON THE RUNNING BOARD, KID!",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"HOW ARE YOU, MAN?",4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,GOOD.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ARE YOU OK THERE?,4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,YES.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OFF WE GO.,3,KLEBER MENDONCA FILHO,MALE,LEAD
